MINISTRY,DEPARTMENT,PRIORITY VACANT POSTS,POST NUMBER,SALARY SCALE,ANNUAL SALARY,RECRUITMENT STATUS,,,,,,,,,,Status 
MIPU,PWD HQ,Road Worthiness Casual ,78006157,PS 4.1 ,1195500,Vacant ,,,,,,,,,,
MIPU,PWD Shefa,Site Inspector Rural  ,78006228,PS 5.1   ,1513100,Vacant ,,,,,,,,,,
MIPU,PWD Shefa,Site Inspector Sealed ,78006232,PS 5.1   ,1513100,Vacant ,,,,,,,,,,
MIPU,PWD Shefa,Grounds Man ,78006235,PS 3.1   ,1001300,Vacant ,,,,,,,,,,
MIPU,PWD Sanma,Foreman Roads ,78006304,PS 5.1   ,1513100,Vacant ,,,,,,,,,,
MIPU,PWD Sanma,Site Inspector Rural  ,78006330,PS 5.1   ,1513100,Vacant ,,,,,,,,,,
MIPU,PWD Sanma,Site Inspector Urban ,78006334,PS 5.1   ,1513100,Vacant ,,,,,,,,,,
MIPU,PWD Sanma,Grounds Man ,78006339,PS 3.1   ,1001300,Vacant ,,,,,,,,,,
MIPU,PWD Malampa,Foreman Roads ,78006405,PS 5.1   ,1513100,Vacant ,,,,,,,,,,
MIPU,PWD Malampa,Site Inspector Rural  ,78006426,PS 5.1   ,1513100,Vacant ,,,,,,,,,,
MIPU,PWD Malampa,Grounds Man ,78006433,PS 3.1   ,1001300,Vacant ,,,,,,,,,,
MIPU,PWD Malampa,Site Inspector Sealed ,78006430,PS 5.1   ,1513100,Vacant ,,,,,,,,,,
MIPU,PWD Tafea,Foreman Roads ,78006505,PS 5.1   ,1513100,Vacant ,,,,,,,,,,
MIPU,PWD Tafea,Divisional Manager (Tafea)                                                        ,78006500,PS 8.1 ,2693000,Vacant ,,,,,,,,,,
MIPU,PWD Tafea,Finance Officer                                                                  ,78006519,PS 5.2 ,1573600,Vacant ,,,,,,,,,,
MIPU,PWD Tafea,Site Inspector Rural  ,78006530,PS 5.1   ,1513100,Vacant ,,,,,,,,,,
MIPU,PWD Tafea,Grounds Man ,78006535,PS 3.1   ,1001300,Vacant ,,,,,,,,,,
MIPU,PWD Tafea,Site Inspector Sealed ,78006532,PS 5.1   ,1513100,Vacant ,,,,,,,,,,
MIPU,PWD Penama ,Qualified Operator                                                            ,78006608,PS 4.3   ,1291200,Vacant ,,,,,,,,,,
MIPU,PWD Penama ,Qualified Operator                                                            ,78006610,PS 4.3   ,1291200,Vacant ,,,,,,,,,,
MIPU,PWD Penama ,Grounds Man ,78006626,PS 3.1   ,1001300,Vacant ,,,,,,,,,,
MIPU,PWD Torba ,Qualified Operator                                                            ,78006704,PS 4.3   ,1291200,Vacant ,,,,,,,,,,
MIPU,PWD Torba ,Grounds Man ,78006717,PS 3.1   ,1001300,Vacant ,,,,,,,,,,
MIPU,CSU,Finance Manager ,78006004,PSS 5.1,1989000,Vacant ,,,,,,,,,,
MIPU,CSU,Public Relations Officer ,,PSS 5.1,1989000,Occupied (Contract),,,,,,,,,,
MIPU,CSU,Principal Compliance Officer ,78006003,PSS 5.1,1989000,Vacant ,,,,,,,,,,
MIPU,CSU,Internal Auditor ,78006010,PSS 5.1,1989000,Vacant ,,,,,,,,,,
MOJYCS,Coporate Service Unit ,Sector Project Coordinator ,10009,PSL 4.1,2893000,Vacant ,,,,,,,,,,
MOJYCS,Coporate Service Unit ,Capacity Development Officer ,10008,PSS 4.9,1924000,Vacant ,,,,,,,,,,
MOJYCS,Coporate Service Unit ,Convention Agaist Corruption Coordinator ,100022,PSS 5.5,2250000,Advertisement ,,,,,,,,,,
MOJYCS,Coporate Service Unit ,Torba Compliance ,100035,PSS 4.1,1400000,Filled (Internship),,,,,,,,,,
MOJYCS,DWA,EVAWG Officer,10078,PSS 5.1,1989000,Filled,,,,,,,,,,
MOJYCS,DWA,GPC Coordinator ,100102,PSS 5.1,1989000,Awaits Commission Decision ,,,,,,,,,,
